date,nav,cash,dividend_receivables,holdings_value,gross_exposure,positions,stale_positions,benchmark_nav,cumulative_fees,cumulative_notional,cumulative_dividends,cumulative_cash_interest,cumulative_delist_writeoff,benchmark_matched_nav
2024-02-06,1009624.9244375713,712071.59576052,0,297553.3286770514,0.2947167026832351,15,0,836949.8339273089,20539.90150677308,23808573.86370811,0.0,0.0,0.0,896327.64692996
2024-02-07,1008679.1009056435,712071.59576052,0,296607.50514512364,0.29405536892636547,15,0,837183.7979844055,20539.90150677308,23808573.86370811,0.0,0.0,0.0,896401.4919577239
2024-02-08,1012030.7907492669,712071.59576052,0,299959.1949887469,0.2963933486318822,15,0,846393.5596637808,20539.90150677308,23808573.86370811,0.0,0.0,0.0,899301.2333052342
2024-02-09,1012911.0755826398,712071.59576052,0,300839.4798221198,0.29700482803890066,15,0,853019.0999680056,20539.90150677308,23808573.86370811,0.0,0.0,0.0,901387.753500294
2024-02-12,1010876.3957019928,712071.59576052,0,298804.7999414728,0.29558984779140174,15,0,858691.5068249287,20539.90150677308,23808573.86370811,0.0,0.0,0.0,903168.0149198718
2024-02-13,1012688.6276617157,712071.59576052,0,300617.0319011957,0.2968504076078314,15,0,862746.9552014474,20539.90150677308,23808573.86370811,0.0,0.0,0.0,904428.8543235296
2024-02-14,1013482.8984519844,712071.59576052,0,301411.3026914645,0.2974014688869902,15,0,865996.376095436,20539.90150677308,23808573.86370811,0.0,0.0,0.0,905440.048575801
2024-02-15,1013975.9296991494,712071.59576052,0,301904.3339386294,0.2977430973417738,15,0,867970.7762419126,20539.90150677308,23808573.86370811,0.0,0.0,0.0,906053.9828917622
2024-02-16,1013675.1495265636,712071.59576052,0,301603.5537660436,0.29753472195397845,15,0,869893.858363944,20539.90150677308,23808573.86370811,0.0,0.0,0.0,906651.6901132942
2024-02-19,1017085.4679696984,712071.59576052,0,305013.8722091784,0.2998901093514253,15,0,877838.7789278356,20539.90150677308,23808573.86370811,0.0,0.0,0.0,909115.4672732048
2024-02-20,1015465.61994106,712071.59576052,0,303394.02418053994,0.29877330972381877,15,0,873960.4619773753,20539.90150677308,23808573.86370811,0.0,0.0,0.0,907910.9591713068
2024-02-21,1018103.5471026885,712071.59576052,0,306031.9513421685,0.30059020245344586,15,0,887879.7372936549,20539.90150677308,23808573.86370811,0.0,0.0,0.0,912231.2192892279
2024-02-22,1016800.6329028327,712071.59576052,0,304729.03714231274,0.29969398845902684,15,0,887190.8476037884,20539.90150677308,23808573.86370811,0.0,0.0,0.0,912018.466485489
